Date	Hour	Tmax(C)	Tmin(C)	ET0	Rain(mm)
2021-06-08	06:45:49	13.5	12.0	0.025	0.0
2021-06-08	07:00:50	13.5	12.0	0.025	0.0
2021-06-08	07:15:51	13.5	12.0	0.051	0.0
2021-06-08	07:30:52	13.5	12.0	0.051	0.0
2021-06-08	07:45:53	13.72	12.0	0.051	0.0
2021-06-08	08:00:54	13.94	12.0	0.051	0.0
2021-06-08	08:15:54	14.28	12.0	0.127	0.0
2021-06-08	08:30:55	15.0	12.0	0.127	0.0
2021-06-08	08:45:56	15.17	12.0	0.127	0.0
2021-06-08	09:00:57	15.17	12.0	0.127	0.0
2021-06-08	09:15:58	15.89	12.0	0.279	0.0
2021-06-08	09:30:59	16.17	12.0	0.27899999999999997	0.0
2021-06-08	09:45:59	16.44	12.0	0.279	0.0
2021-06-08	10:00:00	16.78	12.0	0.27899999999999997	0.0
2021-06-08	10:15:01	17.0	12.0	0.483	0.0
2021-06-08	10:30:02	17.78	12.0	0.483	0.0
2021-06-08	10:45:03	18.39	12.0	0.483	0.0
2021-06-08	11:00:04	19.11	12.0	0.483	0.0
2021-06-08	11:15:05	19.39	12.0	0.838	0.0
2021-06-08	11:30:06	19.94	12.0	0.838	0.0
2021-06-08	11:45:07	19.94	12.0	0.838	0.0
2021-06-08	12:00:08	20.06	12.0	0.838	0.0
2021-06-08	12:15:08	20.33	12.0	1.245	0.0
2021-06-08	12:30:09	20.67	12.0	1.245	0.0
2021-06-08	12:45:10	20.67	12.0	1.245	0.0
2021-06-08	13:00:11	20.67	12.0	1.245	0.0
2021-06-08	14:30:19	22.11	12.0	1.905	0.0
2021-06-08	14:45:45	22.17	12.0	1.905	0.0
2021-06-08	15:00:50	22.17	12.0	1.905	0.0
2021-06-08	15:15:54	22.17	12.0	2.21	0.0
2021-06-08	15:30:57	22.17	12.0	2.21	0.0
2021-06-08	16:00:02	22.17	12.0	2.21	0.0
2021-06-08	16:15:07	22.17	12.0	2.362	0.0
2021-06-08	16:30:12	22.17	12.0	2.362	0.0
2021-06-08	17:30:07	22.17	12.0	2.464	0.0
2021-06-08	17:45:13	22.17	12.0	2.464	0.0
2021-06-08	17:45:54	22.17	12.0	2.464	0.0
2021-06-08	21:16:02	22.17	11.78	2.54	0.399
2021-06-08	21:30:11	22.17	11.67	2.54	0.39899999999999997
2021-06-08	21:45:16	22.17	11.56	2.54	0.399
2021-06-08	22:00:25	22.17	11.22	2.54	0.39899999999999997
2021-06-08	22:15:30	22.17	11.22	2.54	0.399
2021-06-08	22:30:34	22.17	11.06	2.54	0.39899999999999997
2021-06-08	22:45:37	22.17	11.06	2.54	0.399
2021-06-08	23:00:41	22.17	11.06	2.54	0.39899999999999997
2021-06-08	23:15:49	22.17	11.06	2.54	0.399
2021-06-08	23:30:53	22.17	11.06	2.54	0.39899999999999997
2021-06-08	23:45:59	22.17	11.06	2.54	0.399
2021-06-09	00:00:02	22.17	11.06	2.54	0.39899999999999997
2021-06-09	00:15:06	11.39	11.17	0.0	0.0
2021-06-09	04:30:09	11.61	11.17	0.0	0.0
