Date	Tmax(C)	Tmin(C)	ET0	Rain(mm)	Date_captura
2020-12-04	16.00	5.00	1.30	0	2020-12-03
2020-12-05	17.00	7.00	1.30	0	2020-12-04
2020-12-06	18.00	6.00	1.50	0	2020-12-05
2020-12-07	16.00	6.00	1.20	0	2020-12-06
2020-12-08	15.00	6.00	1.00	0	2020-12-07
2020-12-09	23.00	6.00	2.20	0	2020-12-08
2020-12-10	20.00	8.00	1.90	1.00	2020-12-09
2020-12-11	17.00	7.00	1.40	0	2020-12-10
2020-12-12	15.00	8.00	1.10	0	2020-12-11
2020-12-13	12.00	8.00	0.50	0	2020-12-12
2020-12-14	13.00	8.00	0.70	0	2020-12-13
2020-12-15	14.00	8.00	0.20	7.80	2020-12-14
2020-12-16	13.00	6.00	1.10	0	2020-12-15
2020-12-17	14.00	6.00	0.90	0	2020-12-16
2020-12-18	15.00	6.00	1.10	0	2020-12-17
2020-12-19	13.00	7.00	0.90	0	2020-12-18
2020-12-20	15.00	5.00	1.10	0	2020-12-19
2020-12-21	15.00	4.00	1.10	0	2020-12-20
2020-12-22	14.00	3.00	1.10	0	2020-12-21
2020-12-23	14.00	4.00	1.10	0	2020-12-22
2020-12-24	16.00	6.00	1.10	2.30	2020-12-23
2020-12-25	16.00	5.00	1.40	0	2020-12-24
2020-12-26	12.00	5.00	0.90	0	2020-12-25
2020-12-27	17.00	7.00	0.50	0	2020-12-26
2020-12-28	14.00	8.00	1.10	3.50	2020-12-27
2020-12-29	17.00	7.00	1.10	4.00	2020-12-28
2020-12-30	14.00	7.00	0.90	1.20	2020-12-29
2020-12-31	15.00	4.00	1.20	8.40	2020-12-30
2021-01-01	12.00	3.00	1.00	0	2020-12-31
2021-01-02	14.00	7.00	1.10	2.10	2021-01-01
2021-01-03	16.00	4.00	1.20	2.40	2021-01-02
2021-01-04	12.00	9.00	0.50	0	2021-01-03
2021-01-05	11.00	8.00	0.30	0	2021-01-04
2021-01-06	15.00	8.00	0.40	0	2021-01-05
2021-01-07	12.00	6.00	0.80	1.00	2021-01-06
2021-01-08	14.00	5.00	0.60	3.00	2021-01-07
2021-01-09	15.00	6.00	0.90	0	2021-01-08
2021-01-10	14.00	8.00	0.70	0	2021-01-09
2021-01-11	14.00	4.00	1.10	0	2021-01-10
2021-01-12	15.00	5.00	1.00	0	2021-01-11
2021-01-13	15.00	6.00	1.10	0	2021-01-12
2021-01-14	16.00	8.00	0.90	0	2021-01-13
2021-01-15	18.00	9.00	1.00	0	2021-01-14
2021-01-16	19.00	10.00	1.30	0	2021-01-15
2021-01-17	18.00	8.00	1.40	0	2021-01-16
2021-01-18	19.00	9.00	1.40	0	2021-01-17
2021-01-19	22.00	9.00	1.80	0	2021-01-18
2021-01-20	26.00	11.00	2.40	0	2021-01-19
2021-01-21	19.00	12.00	3.00	0	2021-01-20
2021-01-22	17.00	8.00	2.20	0	2021-01-21
2021-01-23	14.00	5.00	1.50	0	2021-01-22
2021-01-24	12.00	7.00	0.80	0	2021-01-23
2021-01-25	12.00	7.00	1.00	0	2021-01-24
2021-01-26	11.00	5.00	0.50	0	2021-01-25
2021-01-27	11.00	6.00	1.40	0	2021-01-26
2021-01-28	11.00	1.00	1.70	0	2021-01-27
2021-01-29	12.00	7.00	0.80	0	2021-01-28
2021-01-30	12.00	8.00	0.60	0	2021-01-29
2021-01-31	12.00	6.00	1.80	0	2021-01-30
2021-02-01	16.00	7.00	1.60	0	2021-01-31
2021-02-02	19.00	9.00	1.80	0	2021-02-01
2021-02-03	19.00	7.00	2.60	0	2021-02-02
2021-02-04	14.00	10.00	1.20	0	2021-02-03
2021-02-05	13.00	5.00	2.00	0	2021-02-04
2021-02-06	15.00	5.00	2.20	8.00	2021-02-05
2021-02-07	19.00	6.00	2.30	24.00	2021-02-06
2021-02-08	19.00	5.00	2.00	0	2021-02-07
2021-02-09	17.00	6.00	1.90	12.50	2021-02-08
2021-02-10	14.00	6.00	1.40	0	2021-02-09
2021-02-11	14.00	10.00	1.20	5.50	2021-02-10
2021-02-12	14.00	8.00	1.90	9.20	2021-02-11
2021-02-13	15.00	8.00	0.80	0	2021-02-12
2021-02-14	13.00	10.00	1.90	4.00	2021-02-13
2021-02-15	14.00	10.00	2.50	1.00	2021-02-14
2021-02-16	13.00	6.00	1.00	0	2021-02-15
2021-02-17	13.00	10.00	0.90	0	2021-02-16
2021-02-18	13.00	6.00	1.30	0	2021-02-17
2021-02-19	18.00	5.00	2.50	0	2021-02-18
2021-02-20	17.00	5.00	2.70	0	2021-02-19
2021-02-21	15.00	10.00	2.00	0	2021-02-20
2021-02-22	15.00	8.00	2.60	0	2021-02-21
2021-02-23	16.00	5.00	2.50	0	2021-02-22
2021-02-24	21.00	8.00	3.00	0	2021-02-23
2021-02-25	26.00	9.00	2.80	0	2021-02-24
2021-02-26	22.00	6.00	3.70	3.00	2021-02-25
2021-02-27	17.00	8.00	4.00	3.20	2021-02-26
2021-02-28	15.00	6.00	2.50	5.00	2021-02-27
2021-03-01	15.00	5.00	3.30	3.50	2021-02-28
2021-03-02	21.00	7.00	3.30	2.00	2021-03-01
2021-03-03	21.00	6.00	3.40	3.00	2021-03-02
2021-03-04	16.00	6.00	3.00	1.70	2021-03-03
2021-03-05	16.00	8.00	2.10	0	2021-03-04
2021-03-06	15.00	6.00	2.60	0.50	2021-03-05
2021-03-07	17.00	6.00	3.20	0	2021-03-06
2021-03-08	13.00	8.00	3.20	0	2021-03-07
2021-03-09	14.00	4.00	2.90	0	2021-03-08
2021-03-10	14.00	9.00	3.10	0	2021-03-09
2021-03-11	14.00	8.00	2.30	2.00	2021-03-10
2021-03-12	12.00	6.00	1.60	0.50	2021-03-11
2021-03-13	14.00	6.00	1.80	0.50	2021-03-12
2021-03-14	16.00	6.00	2.80	8.50	2021-03-13
2021-03-15	12.00	9.00	2.10	3.70	2021-03-14
2021-03-16	15.00	8.00	1.60	10.00	2021-03-15
2021-03-17	12.00	7.00	3.40	3.00	2021-03-16
2021-03-18	13.00	4.00	3.10	3.00	2021-03-17
2021-03-19	13.00	5.00	1.80	3.00	2021-03-18
2021-03-20	14.00	10.00	1.00	17.00	2021-03-19
2021-03-21	14.00	10.00	2.20	0	2021-03-20
2021-03-22	13.00	7.00	3.40	0	2021-03-21
2021-03-23	15.00	5.00	3.20	9.20	2021-03-22
2021-03-24	15.00	9.00	3.30	1.20	2021-03-23
2021-03-25	19.00	8.00	4.90	13.00	2021-03-24
2021-03-26	18.00	10.00	4.70	19.00	2021-03-25
2021-03-27	14.00	9.00	3.20	1.00	2021-03-26
2021-03-28	20.00	6.00	3.90	0	2021-03-27
2021-03-29	22.00	7.00	4.20	0	2021-03-28
2021-03-30	20.00	8.00	3.70	0	2021-03-29
2021-03-31	15.00	8.00	3.10	0	2021-03-30
2021-04-01	26.00	8.00	4.20	18.00	2021-03-31
2021-04-02	26.00	11.00	5.10	0.80	2021-04-01
2021-04-03	26.00	0.00	5.70	1.30	2021-04-02
2021-04-04	16.00	9.00	3.80	2.00	2021-04-03
2021-04-05	14.00	10.00	3.20	14.00	2021-04-04
2021-04-06	14.00	11.00	3.80	0	2021-04-05
2021-04-07	13.00	10.00	2.70	1.00	2021-04-06
2021-04-08	15.00	10.00	2.90	29.00	2021-04-07
2021-04-09	12.00	9.00	3.40	1.00	2021-04-08
2021-04-10	14.00	9.00	3.20	9.30	2021-04-09
2021-04-11	12.00	9.00	3.40	22.00	2021-04-10
2021-04-12	16.00	9.00	3.80	0	2021-04-11
2021-04-13	19.00	7.00	3.60	5.00	2021-04-12
2021-04-14	17.00	8.00	3.70	5.00	2021-04-13
2021-04-15	14.00	10.00	3.60	0	2021-04-14
2021-04-16	17.00	9.00	4.00	0	2021-04-15
2021-04-17	15.00	8.00	3.80	0	2021-04-16
2021-04-18	14.00	9.00	3.10	0	2021-04-17
2021-04-19	16.00	10.00	3.20	0	2021-04-18
2021-04-20	23.00	8.00	4.50	1.00	2021-04-19
2021-04-21	15.00	10.00	3.50	0	2021-04-20
2021-04-22	13.00	11.00	1.80	0	2021-04-21
2021-04-23	14.00	10.00	3.50	0	2021-04-22
2021-04-24	14.00	10.00	3.10	7.00	2021-04-23
2021-04-25	16.00	10.00	3.80	1.40	2021-04-24
2021-04-26	16.00	10.00	3.70	0	2021-04-25
2021-04-27	15.00	11.00	1.80	6.00	2021-04-26
2021-04-28	14.00	9.00	4.10	3.00	2021-04-27
2021-04-29	18.00	8.00	4.30	28.00	2021-04-28
2021-04-30	24.00	9.00	4.70	10.00	2021-04-29
2021-05-01	17.00	10.00	3.80	13.00	2021-04-30
2021-05-02	15.00	11.00	3.50	13.00	2021-05-01
2021-05-03	15.00	11.00	2.60	28.80	2021-05-02
2021-05-04	18.00	11.00	4.20	5.30	2021-05-03
2021-05-05	22.00	10.00	4.60	4.50	2021-05-04
2021-05-06	22.00	13.00	4.50	6.00	2021-05-05
2021-05-07	21.00	11.00	4.10	1.00	2021-05-06
2021-05-08	15.00	10.00	3.60	15.00	2021-05-07
2021-05-09	17.00	11.00	4.20	4.20	2021-05-08
2021-05-10	23.00	9.00	5.00	1.00	2021-05-09
2021-05-11	21.00	12.00	4.90	2.00	2021-05-10
2021-05-12	24.00	11.00	4.70	2.00	2021-05-11
2021-05-13	21.00	12.00	4.50	0	2021-05-12
2021-05-14	18.00	11.00	4.10	0	2021-05-13
2021-05-15	16.00	11.00	3.30	0	2021-05-14
2021-05-16	14.00	11.00	3.20	0	2021-05-15
2021-05-17	15.00	11.00	2.50	3.00	2021-05-16
2021-05-18	16.00	12.00	3.40	3.00	2021-05-17
2021-05-19	14.00	11.00	3.20	0	2021-05-18
2021-05-20	18.00	12.00	4.40	0	2021-05-19
2021-05-21	15.00	11.00	5.50	0	2021-05-20
2021-05-22	16.00	9.00	5.60	0	2021-05-21
2021-05-23	16.00	11.00	4.90	0	2021-05-22
2021-05-24	18.00	9.00	4.10	0.50	2021-05-23
2021-05-25	15.00	11.00	3.50	0	2021-05-24
2021-05-26	17.00	10.00	3.50	0	2021-05-25
2021-05-27	16.00	12.00	3.20	0	2021-05-26
2021-05-28	18.00	10.00	3.90	0	2021-05-27
2021-05-29	18.00	11.00	3.70	0	2021-05-28
2021-05-30	17.00	12.00	3.80	0	2021-05-29
2021-05-31	14.00	11.00	2.70	0	2021-05-30
2021-06-01	21.72	9.39	2.82	0	2021-05-31
