CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-31 00:00,1316,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-01 00:00,1193,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-02 00:00,853,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-03 00:00,344,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-04 00:00,627,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-05 00:00,2373,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-06 00:00,2389,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-07 00:00,2237,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-08 00:00,2095,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-09 00:00,1947,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-10 00:00,1807,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-11 00:00,1697,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-12 00:00,1597,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-13 00:00,1466,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-14 00:00,1359,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-15 00:00,1266,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-16 00:00,1204,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-17 00:00,1202,50,,900
